,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
405,Cat,Intact Female,-0.7286954962461891,Siamese Mix,White/Lynx Point,0
406,Cat,Intact Male,-0.6889059338836845,Domestic Shorthair,Blue/White,0
407,Cat,Intact Male,-0.713890077692699,Domestic Medium Hair Mix,Blue Tabby,0
408,Dog,Neutered Male,-0.01618472835947956,Pointer Mix,Black/White,0
409,Dog,Spayed Female,2.6506412885879187,Pit Bull Mix,White,0
410,Cat,Neutered Male,-0.635236291627283,Domestic Shorthair Mix,Black,0
411,Dog,Spayed Female,2.093587415512855,Staffordshire Mix,Black Brindle/White,0
412,Dog,Neutered Male,-0.4473925437298778,Australian Cattle Dog Mix,Black/Tan,0
413,Dog,Neutered Male,2.6552679818858844,Harrier Mix,Brown/Black,0
414,Dog,Neutered Male,0.32248922105160577,Pit Bull Mix,Tan,0
415,Cat,Neutered Male,-0.585268004009254,Domestic Shorthair Mix,Black,0
416,Cat,Neutered Male,-0.613953502456641,Domestic Shorthair Mix,Orange Tabby,0
417,Cat,Intact Male,-0.5269716684548869,Domestic Shorthair Mix,Blue/White,0
418,Cat,Spayed Female,-0.606550793179896,Domestic Shorthair,Black/White,0
419,Dog,Neutered Male,-0.6722498380110082,Labrador Retriever Mix,Black/White,0
420,Cat,Intact Male,-0.5621345375194258,Domestic Shorthair Mix,Brown Tabby,0
421,Dog,Neutered Male,-0.6620711127554838,Miniature Pinscher,Black/Tricolor,0
422,Dog,Neutered Male,1.9695920351273757,Cocker Spaniel Mix,White,0
423,Dog,Spayed Female,1.0063144904909282,Pit Bull Mix,Tan,0
424,Cat,Neutered Male,1.01279186110808,Domestic Medium Hair Mix,Blue Tabby,0
425,Cat,Neutered Male,1.5161760919267424,Maine Coon Mix,Brown Tabby/White,0
426,Cat,Intact Male,-0.4224083999208633,Domestic Shorthair,Black/White,0
427,Dog,Neutered Male,-0.6666978060534494,Pit Bull Mix,Black/White,0
428,Dog,Spayed Female,-0.045795565466459694,Chihuahua Shorthair Mix,Tricolor,0
429,Cat,Neutered Male,0.9591222188516786,Domestic Shorthair Mix,Orange Tabby/White,0
430,Cat,Spayed Female,0.6907740075696712,Domestic Shorthair,Black/White,0
431,Cat,Neutered Male,2.651566627247512,Siamese,Lynx Point,0
